epoch,train_loss,val_acc,val_macro_f1,time_s,lr
1,0.378934046491258,0.756385068762279,0.7185645355464985,53.38378858566284,0.0002948888739433602
2,0.24322861782506602,0.7642436149312377,0.730937481375529,48.37084412574768,0.0002799038105676658
3,0.21422880419999887,0.7406679764243614,0.7095574859228343,49.68226432800293,0.00025606601717798207
4,0.21124461650558166,0.7662082514734774,0.7282562806235692,64.36048173904419,0.00022499999999999997
5,0.1777588800669055,0.7740667976424361,0.7411591349641307,71.96211791038513,0.0001888228567653781
6,0.17005120160057763,0.7799607072691552,0.7469051028397428,69.21538281440735,0.00015
7,0.15768073871958496,0.7701375245579568,0.7309207753898019,74.45699620246887,0.0001111771432346219
8,0.13118791539085203,0.7819253438113949,0.7456243287583503,65.8568422794342,7.500000000000003e-05
9,0.12880776111821804,0.7779960707269156,0.7397329569443322,63.555209159851074,4.393398282201788e-05
10,0.12599008021429167,0.7779960707269156,0.7419213338869005,63.67012691497803,2.0096189432334194e-05
