epoch,train_loss,val_acc,val_macro_f1,time_s,lr
1,0.40463317501184,0.7485265225933202,0.7143700259768577,76.58709049224854,0.0002948888739433602
2,0.2447671638995796,0.7662082514734774,0.7409361962124456,65.77726745605469,0.0002799038105676658
3,0.22314627334399342,0.7799607072691552,0.7480106850285709,65.16601061820984,0.00025606601717798207
4,0.18888997752402553,0.7721021611001965,0.7432021084295788,65.122403383255,0.00022499999999999997
5,0.1788793467908125,0.7760314341846758,0.7428273423407541,64.8985664844513,0.0001888228567653781
6,0.15917133426530317,0.7642436149312377,0.7211362775485256,65.00425028800964,0.00015
7,0.14582038672243194,0.7799607072691552,0.7482547577021341,65.06011462211609,0.0001111771432346219
8,0.13998751452751532,0.7740667976424361,0.7431773043208616,65.09825038909912,7.500000000000003e-05
9,0.12807387837680878,0.7838899803536346,0.7496576205477362,65.00823831558228,4.393398282201788e-05
10,0.1248409882029632,0.7721021611001965,0.7404108730380464,65.07196474075317,2.0096189432334194e-05
11,0.11104552908952528,0.7799607072691552,0.7448053223238801,64.99496054649353,5.1111260566397705e-06
12,0.11463028496637431,0.7779960707269156,0.7437710099522795,64.77413821220398,0.0
