epoch,train_loss,val_acc,val_macro_f1,time_s,lr
1,0.3896029039335899,0.7665094339622641,0.7538465042051842,78.7080762386322,0.0002948888739433602
2,0.2881901476510078,0.7476415094339622,0.725238014484464,75.01591897010803,0.0002799038105676658
3,0.22911384221331918,0.7688679245283019,0.7552390071093544,74.61437845230103,0.00025606601717798207
4,0.20149381893183196,0.7476415094339622,0.7309448702919227,75.1073546409607,0.00022499999999999997
5,0.19053448864464176,0.7712264150943396,0.7483801336979364,123.79660987854004,0.0001888228567653781
6,0.1612512182150149,0.7688679245283019,0.7492332022230533,120.48998737335205,0.00015
7,0.14505562336391542,0.7783018867924528,0.7624087932517277,120.94755959510803,0.0001111771432346219
8,0.1383297264348202,0.7688679245283019,0.7493520211357279,101.0033004283905,7.500000000000003e-05
9,0.12259882505473826,0.7806603773584906,0.7652654304708376,83.29655647277832,4.393398282201788e-05
10,0.1299100030069138,0.7830188679245284,0.7679255867595579,75.49142837524414,2.0096189432334194e-05
11,0.1330782682517585,0.7830188679245284,0.7667892850405584,75.48648452758789,5.1111260566397705e-06
12,0.11273674714963429,0.7641509433962265,0.7455416089524816,76.0240707397461,0.0
