epoch,train_loss,val_acc,val_macro_f1,time_s,lr
1,0.3977649069674046,0.75049115913556,0.7124594752823684,98.40282320976257,0.0002948888739433602
2,0.25453249671488704,0.762278978388998,0.7287995076423698,87.56153583526611,0.0002799038105676658
3,0.22651006410464866,0.7426326129666012,0.7170644466249229,87.77487897872925,0.00025606601717798207
4,0.21901526464896454,0.7721021611001965,0.7357936766538917,83.12600636482239,0.00022499999999999997
5,0.18505226595935292,0.7779960707269156,0.7456640592234773,85.51341223716736,0.0001888228567653781
6,0.1745976841118399,0.7799607072691552,0.7451861207538748,94.68547582626343,0.00015
7,0.16297660998094635,0.7662082514734774,0.7268285150638092,88.61477088928223,0.0001111771432346219
8,0.13729979214839505,0.7858546168958742,0.7516092185936882,87.43810248374939,7.500000000000003e-05
9,0.13505323830713098,0.7740667976424361,0.7374765025508475,87.21569514274597,4.393398282201788e-05
10,0.13169078243796978,0.7701375245579568,0.7352930229642558,87.10162496566772,2.0096189432334194e-05
11,0.12664763297795717,0.7760314341846758,0.7424476769949212,84.95048117637634,5.1111260566397705e-06
12,0.12510177201058034,0.7701375245579568,0.7355458142637891,93.32774662971497,0.0
