epoch,train_loss,val_acc,val_macro_f1,time_s,lr
1,0.1654739188226867,0.7642857142857142,0.7472688404891793,43.08492064476013,0.0002948888739433602
2,0.15787414769361136,0.7571428571428571,0.7233053986189578,31.851596117019653,0.0002799038105676658
3,0.15289340123733475,0.7785714285714286,0.7615640257023978,39.8137788772583,0.00025606601717798207
4,0.13325364493154665,0.7785714285714286,0.7602319424359584,29.209917068481445,0.00022499999999999997
5,0.130284795023357,0.7761904761904762,0.7616985462456656,30.340484142303467,0.0001888228567653781
6,0.12631318742771913,0.7952380952380952,0.7771215289670877,43.039308309555054,0.00015
7,0.11881884013649967,0.7880952380952381,0.7754118932570111,32.022273778915405,0.0001111771432346219
8,0.09372339662258551,0.780952380952381,0.77263824674789,36.9737286567688,7.500000000000003e-05
9,0.08910337164887347,0.7761904761904762,0.762529841354502,45.94373607635498,4.393398282201788e-05
10,0.08617277800992552,0.7738095238095238,0.7631918669735435,36.78925848007202,2.0096189432334194e-05
